## Kpump, Krank, PageRank, delta_P, original index, name
    66	231334	    5.30844079912939e-07	    -0.00478125879682443	3832430	Battle of Ganja (1804)
    67	 45908	    2.50644978966745e-06	    -0.00476918287111348	616795	Danubian Principalities
    68	 24135	    4.46180800556555e-06	    -0.00476123841728877	  7806	Jacobin (politics)
    69	120003	    1.01125665055754e-06	    -0.00476072133144864	239754	Grand Duke of Finland
    70	 74038	    1.60382483310981e-06	    -0.00475639973358518	124885	Michael Andreas Barclay de Tolly
    71	 23918	    4.49959991081961e-06	    -0.00475444165361623	2534967	Tsarist autocracy
    72	136509	    8.93184500629663e-07	    -0.00475378624143044	270995	Alexander Ypsilantis
    73	413066	    2.95958915254741e-07	    -0.00475358844379189	2355180	Gülüstan, Goranboy
    74	130535	    9.31951020683678e-07	    -0.00474838719655515	100154	August von Kotzebue
    75	  1169	     4.0825288643445e-05	    -0.00474173425701365	  2299	Central Europe
    76	 54895	    2.12546962904819e-06	    -0.00473821630171323	4003402	Emperor of All Russia
    77	143221	    8.52344608304344e-07	    -0.00473062886383081	242596	Carlsbad Decrees
    78	 14500	    6.89208654091239e-06	    -0.00472963294648917	113691	University of Tartu
    79	  8867	    1.01335807400842e-05	    -0.00472513186749809	  4438	Erfurt
    80	 15305	    6.58735021956539e-06	     -0.0047070972440665	 91581	Klaipėda
    81	 38622	    2.94433890283704e-06	    -0.00469654321619078	169015	Kaluga
    82	 48160	     2.3976550546832e-06	    -0.00469456751897955	295459	Peter and Paul Fortress
    83	 12860	    7.59233660975512e-06	    -0.00468724729289132	2499240	List of sultans of the Ottoman Empire
    84	 59661	    1.96624087868453e-06	    -0.00468344268477633	167289	Duchy of Oldenburg
    85	324396	    3.78028452515808e-07	    -0.00468216413872206	731646	Military settlement
    86	207074	    5.93214875357541e-07	    -0.00468107091092308	105120	Anna Pavlovna of Russia
    87	 63962	    1.84291495222049e-06	    -0.00467677583008449	243930	Kazan (Volga region) Federal University
    88	106262	    1.13534109438571e-06	    -0.00467379990474048	395544	Treaty of Bucharest (1812)
    89	139131	    8.76817554323827e-07	    -0.00467178743514061	 83934	Pyotr Bagration
    90	762812	    1.57789916007579e-07	    -0.00467110159446005	139556	Maria Naryshkina
    91	485847	    2.51207405102509e-07	    -0.00466734782479686	1383968	Peter Friedrich Wilhelm, Duke of Oldenburg
    92	   588	    6.17077266367596e-05	    -0.00466601343325091	 24620	Queen Victoria
    93	158871	    7.70248529869525e-07	    -0.00466060226358021	228756	Congress of Aix-la-Chapelle (1818)
    94	 30311	    3.65250913424625e-06	    -0.00465969057569543	223500	Vilnius University
    95	  1714	    3.23317878082377e-05	    -0.00465783434494033	 23073	Congress of Vienna
    96	  3774	    1.89066615295357e-05	    -0.00465446968130023	   460	Aachen
    97	1107423	     1.0736162080544e-07	    -0.00465193750705466	3996592	Grand Duchess Elizabeth Alexandrovna of Russia
    98	 25906	    4.19976040703149e-06	    -0.00465089235670394	 32444	Grand duke
    99	  4751	    1.60976591255584e-05	     -0.0046483130850295	  3044	Classical liberalism
   100	375811	    3.25742684040557e-07	    -0.00464404998956857	2325135	Nikolay Zubov
   101	 20577	    5.11951740597128e-06	    -0.00464141202740682	110386	Mahmud II
   102	  8416	    1.05491404492896e-05	    -0.00463306633206704	2492249	Typhus
   103	302227	    4.06278663045578e-07	    -0.00463272636411252	4150764	Derbent Khanate
   104	263059	    4.67508337885255e-07	    -0.00462927007038231	277007	Eudoxia Lopukhina
   105	 88794	    1.35109078722523e-06	    -0.00462788107527502	262728	National University of Kharkiv
   106	170320	    7.19811374243402e-07	    -0.00462517597538187	228743	Congress of Verona
   107	112078	    1.07970035247968e-06	    -0.00461463992530302	3625995	German Campaign of 1813
